time,x,y,z,roll,pitch,yaw
1719540241.5797944,0.4908308925655084,-0.033900769074483666,0.48573862223517794,3.0801153313386704,-0.033199437300736566,0.0005469346332982082
1719540241.5832908,0.49083185918513056,-0.033898770609965066,0.48574122753798343,3.0801233862665396,-0.03319978111001356,0.0005507151286874903
1719540241.586306,0.4908303554170984,-0.03389880999216467,0.48573858927191305,3.0801201400888853,-0.033202363178004735,0.0005469290377764901
1719540241.591424,0.4908308759898739,-0.033900797768819824,0.4857386537310669,3.0801153328748763,-0.03319943736142321,0.0005469146619585559
1719540241.595156,0.4908318514876196,-0.03389880189106962,0.48574120339322313,3.080123359274053,-0.03319967091592648,0.0005506978163494812
1719540241.5986385,0.4908303448275402,-0.033898843267643024,0.48573854550839773,3.080120115927906,-0.033202224831529674,0.0005469011173838685
1719540241.6009004,0.4908301744596846,-0.03389489895488443,0.48574171844455843,3.0801223247377716,-0.033201188934942574,0.00055472669438493
1719540241.6027863,0.4908314924219876,-0.03389853095725228,0.48574029206489094,3.080111268376416,-0.033200015832220875,0.0005424355981739481
1719540241.6048667,0.49083312124635753,-0.03389714170658791,0.4857409979620493,3.080117856605335,-0.033199469147189686,0.000551014736814279
1719540241.6072152,0.4908324063448615,-0.03389665539437764,0.48573733354601834,3.0801165446644707,-0.033199988500129535,0.0005479213742628051
1719540241.6100962,0.4908330774989173,-0.0338993495131065,0.48573608888055125,3.0801120493368233,-0.03319472238295801,0.0005456763955662806
1719540241.6126878,0.4908337547250587,-0.03389774687073462,0.4857381918129517,3.0801214668959465,-0.0331945668021398,0.0005502923992372381
1719540241.6150239,0.49083170744508503,-0.03389788032312062,0.4857360058449839,3.0801197889977927,-0.03319872213886415,0.0005468747688446548
1719540241.6174054,0.4908316314528584,-0.03389999288719371,0.48573711332511893,3.0801161688771055,-0.033198324029999296,0.0005469303687407666
1719540241.61977,0.4908321746391478,-0.033898126725759856,0.48574088192134485,3.080125127923801,-0.033201051189401094,0.000550851487181303
1719540241.6227438,0.49083047009350295,-0.03389817670506722,0.4857390793095431,3.080122267504849,-0.03320512978868621,0.0005474293011603616
1719540241.6247287,0.4908310059411424,-0.03390015745861876,0.4857394643530397,3.0801174041334747,-0.03320243372512768,0.0005475025985719269
1719540241.6268604,0.49083212109508734,-0.0338982661202673,0.48574188380380096,3.0801251309814917,-0.03320184915398639,0.0005510062926952892
1719540241.6291568,0.4908307792708261,-0.03389840284212079,0.4857387545813614,3.080121270916852,-0.03320302086995922,0.0005471922010176656
1719540241.631773,0.49083137400186344,-0.033900529890374065,0.48573831198646894,3.080115923025,-0.03319887842443466,0.0005469345125339051
1719540241.6339352,0.4908323494030456,-0.033898555537513086,0.48574059842585204,3.080123569314003,-0.03319841229957736,0.0005508134088705929
1719540241.6357539,0.4908307727975747,-0.03389864877602613,0.4857378734745751,3.0801199484566193,-0.033200898328009563,0.0005468609953189987
1719540241.6382704,0.49083116087375905,-0.033900666664084304,0.4857380759671886,3.080114982224245,-0.03319841793915575,0.0005468680891786903
1719540241.6400094,0.49083201646658947,-0.03389865835082873,0.4857409170986938,3.080123004644651,-0.033199310849404924,0.0005507209121694001
1719540241.6417642,0.49083043678958727,-0.03389867870590419,0.48573851830002385,3.0801197538460823,-0.033202455546126323,0.0005469811204222223
1719540241.6436784,0.49083093247593923,-0.03390063326601224,0.4857387490309235,3.080115008039888,-0.03319991567161161,0.0005470045709510569
1719540241.6462073,0.49083193015755944,-0.03389862943311531,0.48574137030632014,3.080123127151387,-0.03320026743837145,0.0005507438114573425
1719540241.648645,0.49083047414260905,-0.03389866803137726,0.4857386578505466,3.08011991487896,-0.03320271509880197,0.000546970991134149
1719540241.6507866,0.4908310340914156,-0.033900670210976175,0.48573861719954475,3.0801151708324923,-0.033199651073963034,0.0005468711356975547
1719540241.653094,0.4908320397655191,-0.03389867322355149,0.48574109996257797,3.0801232789877497,-0.03319980109881941,0.0005506637130120842
1719540241.6552927,0.4908305503520055,-0.033898725237282705,0.48573839530748536,3.080120077605942,-0.03320239485347903,0.0005468483359700083
1719540241.658916,0.4908310617265446,-0.03390072326515989,0.4857384656667619,3.080115353907351,-0.03319968590649158,0.0005467732288052841
1719540241.6624446,0.4908320246970334,-0.033898720644953306,0.4857410866944909,3.080123467263891,-0.03320023128776673,0.0005505865745594371
1719540241.6653097,0.490830515459747,-0.03389875474986144,0.4857385019497267,3.0801202892886312,-0.03320312749445278,0.0005468154002614879
1719540241.6680305,0.4908310396316213,-0.0339007305708145,0.4857386318005467,3.0801155529799344,-0.03320055678187872,0.0005467502997001408
1719540241.6716065,0.4908320307002183,-0.03389872826338521,0.48574123480635695,3.080123628352486,-0.033201092918475124,0.0005505306297713854
1719540241.6746118,0.4908305539703463,-0.03389875813418479,0.4857385928032433,3.0801204346725997,-0.03320388853141021,0.000546771555720411
1719540241.6766584,0.49083110500667537,-0.033900738684408564,0.4857386533148084,3.080115674310381,-0.033201208305185546,0.000546662928183153
1719540241.679691,0.4908321099571408,-0.03389873806346729,0.48574119747326794,3.0801237258703336,-0.03320168477609291,0.0005504470826562044
1719540241.6820164,0.4908306351636532,-0.03389876812938595,0.4857385322002996,3.0801205450807108,-0.03320450326421814,0.000546683982585623
1719540241.6847868,0.49083050013207447,-0.033894815765972454,0.48574169735769607,3.080122809213192,-0.03320376682118905,0.0005543986345994102
1719540241.688122,0.49083185217020003,-0.03389843434187175,0.48574026095008455,3.0801118191656727,-0.033202881349954146,0.0005422559346703585
