Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7
-0.00751676,0.0337197,-0.00827269,-0.0903942,0.00646058,-0.048055,0.0101009
0.0414614,0.0761539,0.00171678,-0.0187606,0.0108312,-0.107652,-0.000488329
0.071886,0.016048,-0.1006,-0.107046,-0.0502348,-0.0747226,0.0496109
0.053153,0.023851,0.0066664,-0.0351459,0.0276341,-0.0915122,-0.0309007
0.0116911,0.00481686,-0.0266425,-0.0788588,0.00222429,-0.0687252,0.00129921
0.0231106,0.0627896,0.00705113,0.0189166,0.0264005,-0.0853303,-0.0180674
-0.00675727,0.0288755,0.0234916,-0.0615716,0.0379051,-0.0536534,-0.0143971
-0.011486,0.0378181,-0.00792952,-0.0964386,0.00408268,-0.0488391,0.0114485
0.0395052,0.0801572,0.00433571,-0.0259812,0.00969588,-0.108853,-0.00188803
0.0653955,0.0204595,-0.100403,-0.113452,-0.0519295,-0.0759971,0.0506296
0.0531411,0.026499,0.00948216,-0.0401853,0.0276479,-0.0914909,-0.0331244
0.00839072,0.00781571,-0.0268024,-0.0836294,0.000390476,-0.0687931,0.00299937
0.0217782,0.0645611,0.00866009,0.0144055,0.0256128,-0.0845173,-0.0186416
-0.00830377,0.0316386,0.0242676,-0.0660938,0.0366349,-0.0534585,-0.0137547
-0.0154887,0.0416897,-0.00755579,-0.101945,0.00173491,-0.0495029,0.0127209
0.0375277,0.0839266,0.00692628,-0.0326452,0.00857181,-0.109911,-0.00329831
0.0589444,0.0246312,-0.100193,-0.119298,-0.0535628,-0.0771306,0.0516248
0.0530321,0.0289594,0.0122263,-0.0447237,0.0276659,-0.0913697,-0.0352891
0.00498729,0.0106206,-0.0269925,-0.0878991,-0.00136478,-0.0687683,0.0046996
0.0203864,0.0661745,0.0102274,0.0103505,0.0248786,-0.0836503,-0.0192262
-0.009914,0.0342281,0.0249985,-0.0701533,0.0354368,-0.0532085,-0.0131295
-0.0194305,0.0453584,-0.00719479,-0.106961,-0.000491042,-0.0500946,0.0139274
0.0356169,0.0874866,0.00944588,-0.0388002,0.00754263,-0.110872,-0.00470997
0.0526198,0.0285885,-0.100011,-0.124633,-0.055061,-0.0781671,0.0526016
0.0529137,0.031255,0.014862,-0.0488079,0.027756,-0.0911891,-0.0373926
0.0015746,0.0132535,-0.0272454,-0.0917144,-0.00298292,-0.0686884,0.006398
0.0190248,0.0676491,0.0117206,0.00670813,0.0242497,-0.0827629,-0.0198196
-0.0115001,0.0366614,0.0256531,-0.0737926,0.0343559,-0.0529336,-0.0125195
-0.0232305,0.0488409,-0.0068786,-0.11153,-0.00255794,-0.0506419,0.0150729
0.0338458,0.0908537,0.0118637,-0.0444877,0.00664082,-0.111763,-0.00611773
0.0464934,0.0323477,-0.0998866,-0.1295,-0.0563987,-0.0791314,0.0535624
0.0528586,0.0334007,0.0173633,-0.0524777,0.0279411,-0.0909714,-0.0394348
-0.00176983,0.0157291,-0.0275842,-0.0951155,-0.00444711,-0.0685737,0.00809131
0.0177659,0.0689986,0.0131172,0.00344119,0.0237401,-0.0818723,-0.0204214
