Solve Time,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7
0.058112144,0.2459846801111232,0.09638171862487303,-0.20209037394154195,-0.09142487502533311,0.27451191388846946,2.4150008806485976,-1.1875231068641225
0.116103648,0.11959967688466293,0.06768861642002041,0.13468976062863194,-0.19708953456532466,-0.07666850437814908,-0.1102568610182076,0.05601374816317154
0.170053958,0.11929629160300086,0.0682204209341758,0.13583589794743475,-0.19610853719447935,-0.0777681221333354,-0.10970561757389831,0.05691485830733211
0.221239566,0.1183097905888195,0.06582645911859324,0.13538363808381423,-0.19321273155738478,-0.07784313000587428,-0.10750706438801648,0.05675474988846173
0.279479265,0.1214638857108166,0.06288154043796396,0.13779669483015253,-0.1934345898694204,-0.0773818117830451,-0.10681733804441161,0.0561606839573208
0.335504531,0.12326020746916408,0.07028477644897012,0.13741683793007,-0.1998019703097156,-0.07915890439435344,-0.1114875720357188,0.054573912278638975
0.386100768,0.11604664867829965,0.06735393177986382,0.13127524266301918,-0.19696384293893898,-0.07530138772274328,-0.11019774288973451,0.06036720710981315
0.446672438,0.11894716198523807,0.06382701455028272,0.1359135917513406,-0.19021591966574614,-0.07888780982229265,-0.10624094929740742,0.05515232455856948
0.49759864600000003,0.12388808208011369,0.06653846945072604,0.13914253289517892,-0.19616641981221597,-0.07910157160096541,-0.10889510571014613,0.055980795092337304
0.561687467,0.11830330836032218,0.06102422989348891,0.1379731613793455,-0.19050868131566714,-0.07778956778631406,-0.10538419813940308,0.05823149235399286
0.620777366,0.12020886036281231,0.06832466713200505,0.13721122618308626,-0.19779904392539976,-0.07792704621811128,-0.11011631999393275,0.05592190678543532
0.676704643,0.12240562908643025,0.06747216812733751,0.1367249145763124,-0.1958982120876094,-0.07796071585274013,-0.10909336630731069,0.05730285895408635
0.729033707,0.12294146457317556,0.06277642101499985,0.13963919336227484,-0.1935172526511175,-0.07824042797124191,-0.10660279289138969,0.058477168070722
0.7852842800000001,0.11684960490959954,0.0642298230849414,0.13460771149180167,-0.1913424143401791,-0.07686209334724085,-0.10675826911597518,0.058014595456789934
0.842799901,0.12233758753520717,0.06961528256002694,0.1382897854295288,-0.19812842724842278,-0.08038433995954752,-0.11078865171011215,0.055258168223090216
0.903601407,0.12133945147303674,0.06453935653970372,0.1398012080354365,-0.1927338248887518,-0.07975424849376045,-0.106741058923485,0.05564946164248884
0.962841033,0.12100841685813955,0.06936685023355864,0.1362104965621439,-0.19854972677506377,-0.07693026751036618,-0.11093521617603112,0.060577759034178995
1.019978284,0.1201964604665071,0.06887804896023854,0.1369914546925104,-0.19735530055185635,-0.07931563690931598,-0.10976724377221315,0.053163056308799125
1.077015161,0.11788882364508135,0.06769663715189016,0.13349457686980637,-0.1946078998903876,-0.07603195350615337,-0.10925149229306688,0.055748092390222055
1.127483129,0.1178702212127567,0.060508883684104425,0.13281965011084132,-0.18959483935704088,-0.07430664765571122,-0.10533813033784638,0.061889468771242725
1.179593801,0.0834006849725295,0.07307685077681517,0.07940155629213805,-0.2022169282898887,-0.05845000349364485,-0.1195577814879933,0.06948514058221968
1.231927871,0.09667149340234817,0.056842868086447104,0.1038229928646418,-0.17754040253591238,-0.06819613390033041,-0.10253968682023033,0.060597027474640276
1.28465104,0.09402966429184763,0.06645712589160294,0.09236660680005739,-0.19601206941540691,-0.06344428628624973,-0.1135827976424033,0.06995492042834571
1.336142062,0.10521826781720368,0.09861015238885176,0.10303433198597893,-0.2186209436445662,-0.07295785348650814,-0.12910382417366745,0.05727984438734839
1.396215437,0.08758303660854218,0.08094554692373507,0.07972785241917538,-0.2040995469680276,-0.06207754182446207,-0.1211226257789734,0.06573664587458243
1.455985544,0.07249358930543566,0.05429520291496657,0.061398082024535276,-0.1818610967672797,-0.04981765606867282,-0.10747062890550936,0.06968628659991138
1.5128033140000001,0.03732003226120514,-0.015305156095637653,0.04057210293876984,-0.10453756372558923,-0.038534329516308974,-0.0520518160483912,0.08151107344854555
1.5740785570000002,0.029379097643524053,-0.128717811061945,0.07681114966912356,0.0035040955217223333,-0.03792506868480773,0.022556132010639517,0.0815807624320585
1.6357922530000002,0.03373614992500041,-0.2523613589872467,0.1098607593488138,0.14823833031372408,-0.04092936641988645,0.11406285558939892,0.07883972750066372
1.7003362160000002,0.03131304938018696,-0.3040316747517633,0.11213599829282173,0.2335922177656569,-0.04376427129226726,0.13694617171693563,0.07763122393232312
1.7538619020000001,0.016643478131828145,-0.3587558154424301,0.10827672686888394,0.3105484755948667,-0.04210327922233925,0.1744899372352002,0.07345074033596198
1.8091628530000001,0.01612508064453302,-0.3554612190220227,0.11141926940891908,0.33613718152953287,-0.04895068921858287,0.18033788592003275,0.06757833718239123
1.8660042270000001,0.012402636028951043,-0.3234038174515692,0.10374413366280975,0.3324670168593554,-0.05328156317951566,0.16678303194977762,0.06304319626458783
1.9203100190000002,0.01998453295735756,-0.29810718461674135,0.1095563097678546,0.3252701115437873,-0.0599683629019094,0.15868673430566108,0.05740457927989616
1.9727473250000003,0.0060549129838097125,-0.37724730761480607,0.11144921584528567,0.4271983639080676,-0.05940665239018953,0.22841699960934206,0.05768417316368944
2.0250599370000004,0.023769799976538598,-0.4041012918894749,0.14825649263361165,0.4584338811479385,-0.06775944279964899,0.2703854730566199,0.05417217015134726
2.0836291300000003,0.02708520692945464,-0.3702686849252149,0.14409013726274686,0.41274341497144634,-0.06726862081820323,0.23670476679401503,0.052716242150675
