Solve Time,CBF Value
0.058112144,-3.5355339059327386
0.116103648,1.3927563088148511
0.170053958,1.392794063965784
0.221239566,1.3927831419869845
0.279479265,1.3931887932150435
0.335504531,1.3929528868301202
0.386100768,1.3928680733816925
0.446672438,1.3930382073054832
0.49759864600000003,1.3927099908626037
0.561687467,1.3926738582218574
0.620777366,1.3928119435188584
0.676704643,1.39299630559619
0.729033707,1.3930416253815625
0.7852842800000001,1.3926008816108453
0.842799901,1.3927638336685966
0.903601407,1.3927831025201503
0.962841033,1.3924323677664006
1.019978284,1.392861806463494
1.077015161,1.3929874204613868
1.127483129,1.3927344620288447
1.179593801,1.3940356354146946
1.231927871,1.3936361163284645
1.28465104,1.3935290999569312
1.336142062,1.3939254282363307
1.396215437,1.394756369940734
1.455985544,1.3939652281714574
1.5128033140000001,1.3938441590936368
1.5740785570000002,1.3821783130035525
1.6357922530000002,1.369154945021061
1.7003362160000002,1.3579097600021688
1.7538619020000001,1.3456686685427721
1.8091628530000001,1.3331884135956016
1.8660042270000001,1.325325175370136
1.9203100190000002,1.3168420703466492
1.9727473250000003,1.3070797976457533
2.0250599370000004,1.2861700362498607
2.0836291300000003,1.273856945204518
2.140665053,1.2568827799222226
2.1984670150000003,1.2458313062451507
2.2534210660000005,1.2229934734634496
2.3083765480000005,1.2081173551873672
2.3639743300000005,1.174598820683768
2.4181711640000003,1.1393231442788414
2.475368973,1.1021008988610101
2.532305237,1.0527449530079838
2.589462992,1.0037141941935854
2.645848032,0.9363287999414456
2.7036235299999998,0.9000310339848714
2.7616398309999997,0.822309978513263
2.8209416839999997,0.7154371046376795
2.882183788,0.6167061911826093
2.938877581,0.5213371309475763
2.99366474,0.40341541478056653
3.047377824,0.28946031593232485
3.0969507689999998,0.16996664035414583
3.1470627779999996,0.1202332254437184
3.2032031999999995,-0.0024902440643649673
3.2636039249999995,-0.14289719747932605
3.3228797899999996,-0.25913598422973205
3.3817138659999997,-0.37177678551383575
3.440639733,-0.42913527573910787
3.49266672,-0.5050705711615723
3.542467116,-0.5997459871229559
3.60836315,-0.6448413536843169
3.670343398,-0.7120311612115896
3.733583449,-0.8510132196372561
3.792488574,-0.9853796313931881
3.850215195,-1.0977104915849998
3.9038476920000003,-1.2226907685978203
3.9541962120000003,-1.3090273183556014
4.006695984,-1.4063990627654448
4.055761812,-1.457796412868728
4.107341765,-1.490704961690209
4.157129048,-1.5895542332008512
4.215086221,-1.6139183377493778
4.271479606,-1.6354273107909014
4.33051443,-1.6771535467304193
4.383518457,-1.7552240116513707
4.434709072,-1.8104660868613025
4.485513687,-1.8586331510999792
4.544450522,-1.978661762044869
4.597097398,-2.025283382849397
4.655880691,-2.0965018478533044
4.713213207,-2.1429755126323053
4.769393684,-2.2037026497351615
4.823112012,-2.203239136356415
4.879684687,-2.220901609216041
4.9350297450000005,-2.2749512485079877
4.988940716,-2.3019814197549326
5.038597107,-2.2791815103926596
5.0875875950000005,-2.269027802731872
5.137385607000001,-2.279924104187354
5.189987898000001,-2.2988663020071662
5.259093761000001,-2.296128641715231
5.322897910000001,-2.334107036607687
5.387447832000001,-2.430349805118714
5.4460895040000015,-2.4829385073694388
5.500676391000002,-2.5205273553003056
5.555528162000002,-2.631431740968222
5.611970184000001,-2.7295217533424867
5.663290499000001,-2.806807048511226
5.718046902000001,-2.779110183592205
5.777718781000001,-2.746263535172211
5.829160450000001,-2.7589421971983636
5.877650974000001,-2.7872102690565637
